customer,location,unit,job_date,diagnosis,diagnosis_raw,invoice_subtotal,tax_rate,invoice_tax,invoice_total
Wynnefield Properties,Abbey Crossing,405/4D,06/06/25 1:19 PM,CU - Compressor - Replace,,"$1,293.50",6.75%,$87.31,"$1,380.81"
Wynnefield Properties,Abbey Crossing,302/3B,06/12/25 5:17 AM,SYS - LV - Repair - Thermostat,,$215.35,6.75%,$14.54,$229.89
Wynnefield Properties,Abbey Crossing,1F,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$440.00,6.75%,$29.70,$469.70
Wynnefield Properties,Abbey Crossing,4L,05/27/25 11:02 AM,SYS - LV - Repair - Short,,$140.00,6.75%,$9.45,$149.45
Wynnefield Properties,Abbey Crossing,101,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$187.50,6.75%,$12.66,$200.16
Wynnefield Properties,Abbey Crossing,101,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$382.00,6.75%,$25.79,$407.79
Wynnefield Properties,Abbey Crossing,206,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$360.00,6.75%,$24.30,$384.30
Wynnefield Properties,Abbey Crossing,212,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$283.75,6.75%,$19.15,$302.90
Wynnefield Properties,Abbey Crossing,3D,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$165.00,6.75%,$11.14,$176.14
Wynnefield Properties,Abbey Crossing,3F,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$178.50,6.75%,$12.05,$190.55
Wynnefield Properties,Abbey Crossing,4D,05/27/25 11:02 AM,SYS - REF - Repair - Leak - Easy,,$322.00,6.75%,$21.74,$343.74
Wynnefield Properties,Addington Ridge,3730-2C,05/27/25 11:02 AM,AHU - Control Board - Replace,,$438.74,6.75%,$29.61,$468.35
Wynnefield Properties,Addington Ridge,3730-2F,07/21/25 7:04 AM,AHU - Control Board - Replace,,$583.00,6.75%,$39.35,$622.35
Wynnefield Properties,Addington Ridge,3730-3N,07/08/25 11:24 AM,AHU - Control Board - Replace,,$482.86,6.75%,$32.59,$515.45
Wynnefield Properties,Addington Ridge,3730-2I,05/08/25 1:00 PM,CU - Capacitor - Replace,,$232.52,6.75%,$15.70,$248.22
Wynnefield Properties,Addington Ridge,3730 1C,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,633.62",6.75%,$110.27,"$1,743.89"
Wynnefield Properties,Addington Ridge,3730 2G,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,647.12",6.75%,$111.18,"$1,758.30"
Wynnefield Properties,Addington Ridge,3730-3C,05/27/25 11:02 AM,AHU - Evap Coil - Replace,,"$1,730.00",6.75%,$116.78,"$1,846.78"
Wynnefield Properties,Addington Ridge,3730-1A,05/27/25 11:02 AM,AHU - Cond Lines - Clear,,$250.00,6.75%,$16.88,$266.88
Wynnefield Properties,Addington Ridge,3730-1N,07/07/25 8:35 AM,AHU - Motor - Replace - Forward,,$858.20,6.75%,$57.93,$916.13
Wynnefield Properties,Addington Ridge,3730-2B,07/08/25 11:32 AM,AHU - Motor - Replace - Transverse,,"$1,107.50",6.75%,$74.76,"$1,182.26"
Wynnefield Properties,Addington Ridge,3726-3B,05/29/25 9:20 AM,SYS - MIN - Reset Power - CU,,$167.50,6.75%,$11.31,$178.81
Wynnefield Properties,Addington Ridge,1P,05/07/25 1:02 PM,CU - Compressor - Replace,,"$1,073.50",6.75%,$72.46,"$1,145.96"
Wynnefield Properties,Addington Ridge,2-1B,08/18/25 8:17 AM,CU - Compressor - Replace,,"$2,238.50",6.75%,$151.10,"$2,389.60"
Wynnefield Properties,Addington Ridge,3730 1J,08/11/25 11:36 AM,CU - Compressor - Replace,,"$2,238.50",6.75%,$151.10,"$2,389.60"
Wynnefield Properties,Addington Ridge,3730-1J,05/27/25 11:02 AM,CU - Compressor - Replace,,"$1,190.45",6.75%,$80.36,"$1,270.81"
Wynnefield Properties,Addington Ridge,3730-2A,05/27/25 11:02 AM,CU - Compressor - Replace,,"$2,194.50",6.75%,$148.13,"$2,342.63"
Wynnefield Properties,Addington Ridge,Club,05/27/25 11:02 AM,CU - Compressor - Replace,,"$3,066.60",6.75%,$207.00,"$3,273.60"
Wynnefield Properties,Addington Ridge,3726-2D,05/27/25 11:02 AM,SYS - LV - Repair - Thermostat,,$248.87,6.75%,$16.80,$265.67
